Test,SCTP_Connection_ms,QUIC_Connection_ms,SCTP_Server_CPU,QUIC_Server_CPU,SCTP_Client_CPU,QUIC_Client_CPU,SCTP_Server_Mem_MB,QUIC_Server_Mem_MB
1,3091.9,6212.5,0.4,38.7,1.7,33.2,11.0,40.1
2,3136.5,6220.6,0.4,37.2,2.6,27.5,11.0,40.3
3,3104.0,6204.2,0.2,42.9,1.7,39.1,10.9,40.4
4,3107.9,6187.6,0.1,41.4,1.0,34.8,11.0,40.2
5,3182.7,6200.9,0.6,42.7,3.5,28.5,11.0,40.2
6,3086.7,6237.7,0.1,43.7,0.3,36.8,11.1,40.0
7,3764.7,6193.3,0.3,43.8,1.0,37.3,10.9,40.5
8,3117.7,6190.1,0.4,31.5,1.9,28.3,10.9,40.3
9,3104.3,6194.3,0.2,38.8,1.0,29.4,10.9,40.2
10,3844.1,6182.6,0.3,38.1,1.3,33.0,10.9,40.2

Average,3254.0,6202.4,0.3,39.9,1.6,32.8,10.9,40.2
